req_tag,distinct_IDs
npshortbasedda,3
nsoptics3d_r18,3
nwldos,3
orcatool_r33,3
pc4tumor3d,3
pcisa,3
pcpbt_r99,3
phcband,3
photonicsdb_r176,3
pimc,3
polymerxtal,3
prolabox_r20,3
pslsim,3
qdot_r172,3
qdotled,3
qstem,3
rjupyternb,3
senstran_r74,3
sfe,3
spincoupleddots,3
spinqugate,3
stickslip,3
tcellproject,3
tddft,3
testgain0d,3
thermomechcnt,3
ucb_compnano_r845,3
vachecker,3
vsmod,3
youngsmod,3
acute,2
adept,2
anngraph,2
arbd,2
bandstrlab_r348,2
barefoot,2
capacitancescm,2
cc3dbactmacro,2
cc3dcellsort,2
cc3dwfdrain,2
cenems,2
cgmcc,2
chemae,2
cndo,2
compfilsim3d_r37,2
compucell3d_r13,2
cond3d,2
contourpv,2
coviddrugexp,2
crystal_viewer_r416,2
ddscatshapegene,2
deltanotchcc3d,2
devrel,2
dftldahelium,2
diffusionhcp,2
dimredmatdecmp,2
engdata,2
fbsdcme,2
gamian,2
gnor,2
gscompaction,2
handsonpinns_r13,2
heterojunction,2
htdft,2
htoxideprop,2
htworkspace,2
hyperrebo,2
iavmodule,2
illustmath,2
imod,2
introtosimtools,2
jmoltool,2
jupyter70_r2,2
kimexplorer,2
laserdyn,2
lorentzfit,2
mcdna,2
medici,2
meltrccas,2
memscreep,2
memsoscnet,2
meshgenmic,2
mgbasic,2
microenvnmtr,2
mif,2
ml4ecg,2
mosfetsat_r66,2
msl_r12,2
nanoarray,2
nanodrill,2
nanonet,2
neursynch,2
nmstthermal,2
nnrf,2
nusimm_r883,2
nwabsorption_r28,2
ohmslaw,2
omenwire_r144,2
opt,2
opticslab,2
optodet,2
pc3types,2
pc4cancerbots,2
pc4cancerimmune,2
pc4tumorhypoxia,2
photonicvasefit,2
polymerwfnb,2
prolabcdd_r14,2
pumet,2
purdueme323,2
pxcm,2
qdotjupyter,2
quamc2d,2
qudosim,2
r2roptimizer,2
radcool,2
s4sim_r36,2
semidop_r16,2
stedfast,2
stick2d,2
sugarcubecad,2
surfacearea,2
tec,2
teg,2
temlattice,2
tgnb,2
tidystem,2
tpvtest,2
tunnelfet,2
virion2pbpd,2
virion2response,2
vkmlsd,2
vkmlsd3d,2
1dhetero_r742,1
2dfets_r10,1
2dreflect_r44,1
3dmatopt,1
abase_r9,1
acmenpds,1
amidespec_r6,1
angiogencc3d_r12,1
annihilate,1
bandstriab,1
bandstrlab_r327,1
bayes,1
beamprop,1
binbrush,1
bjt_r92,1
bnsl,1
breakcalc1,1
bsvirdcovid19mo,1
btesolver_r41,1
bulkmc_r39,1
bulkmobility_r13,1
capsidsouffle,1
cc3dcovid19_r55,1
cc3dwf,1
chess,1
clusterbgopro,1
cntbands-ext_r44,1
cntnemscant_r7,1
cntnemsff,1
compcatal_r29,1
complam,1
compnano,1
covidvaccinemod_r17,1
crackprop,1
crackpropsim,1
crmatomic,1
cscale,1
ctfet_r10,1
dakotacalibrate,1
dataexplorerlab,1
demons,1
diffanalyzer,1
diffusion,1
diffusion2d,1
dopingsilicon_r11,1
drivergen,1
dsmc1d,1
dualfoil_r29,1
eam,1
ecmsimul,1
electromat_r44,1
ex2pnjunction,1
featureselect,1
ffettool,1
fibpredictor,1
fifaviz,1
fishandriver,1
fnecalc1,1
funuq,1
gas,1
gitlocaltool,1
gnrinterconnect_r12,1
gptool,1
gpuheompop_r37,1
henrycoeff,1
hertzindent,1
hofpred,1
hotspice,1
hydrogenenergy,1
hypoxia19,1
imagej,1
imagesegment_r19,1
impadder,1
iu399sp19p101,1
jmoltool_r14,1
jupyter41,1
jupyter44,1
kronigpenneylab_r13,1
lantrap_r11,1
latticeprotein,1
learngit,1
lfmobility,1
matdatarepo_r17,1
matlab2021a,1
matlabmicroelec_dev,1
mcpt,1
MCTrigate,1
mdsim_r28,1
meep_r37,1
meeppv_r17,1
meltheas_r33,1
memosapiv2d,1
memsoscnet_r9,1
minimol,1
mldefect_r10,1
mlspad,1
mmsttf,1
moca-ensemble,1
MolST,1
mseml_r49,1
msemlg,1
msugmmpc,1
mtstub,1
multimeter,1
nanobiophotsim,1
nanoconfinement,1
nanofinfet_r92,1
nanogromacsii,1
nanoin,1
nanomatexplorer,1
nanomgnets,1
nanoplasticity,1
nanossl,1
nhremote,1
nlattice,1
nrr,1
nselectrostatic,1
nsmch6master,1
ohsv1gbmapp,1
omenhfet,1
pc1d,1
pc4livermedium,1
pc4sbml,1
pc4ws21team42,1
perovmldis,1
pete,1
photonicsrt_r66,1
physicellecm,1
plottool,1
polymod_r462,1
predicts1d,1
qclab_r79,1
qpc,1
r0estimator2,1
rebomd,1
resist,1
resistorcode,1
romdegradation_r39,1
samis,1
sandbox2d,1
sha2d_r138,1
solarpv,1
solidifpure,1
spinprecession,1
spintransport,1
st4pnjunction,1
stretchfcc,1
stretchmol,1
struc2lammpsdf_r68,1
sugaradxl,1
sugarcubecad_r83,1
sugartangcd,1
tdks_r3,1
tedvis,1
tellurium_r14,1
toolshortname,1
tpl_r26,1
trmechanics,1
ttmmd,1
turbinepredict,1
vb6dosenumber,1
virion2receptor,1
vkmlggs,1
vkmlpsgg_r12,1
workspace10,1
woundhealingpc,1
zeno,1
